,asset,time,AdrActCnt,HashRate,ReferenceRateUSD,TxCnt
200,btc,2020-02-28T00:00:00.000000000Z,778213,121637665.56993525,8779.02948188194,361653
201,btc,2020-02-29T00:00:00.000000000Z,679597,107010351.35582903,8750.59344599649,309086
202,btc,2020-03-01T00:00:00.000000000Z,674209,136264979.78404152,8582.09029964933,312717
203,btc,2020-03-02T00:00:00.000000000Z,829550,114708937.78430595,8541.77389392169,341655
204,btc,2020-03-03T00:00:00.000000000Z,840712,117788372.35569674,8906.21475645821,346828
205,btc,2020-03-04T00:00:00.000000000Z,857423,128566393.35556455,8768.81061420222,350503
206,btc,2020-03-05T00:00:00.000000000Z,793221,125486958.78417374,8756.36957218001,350421
207,btc,2020-03-06T00:00:00.000000000Z,804945,119328089.64139213,9062.61580274693,338758
208,btc,2020-03-07T00:00:00.000000000Z,682432,120867806.92708752,9147.08505897136,313782
209,btc,2020-03-08T00:00:00.000000000Z,654911,121637665.56993525,8898.30695675044,304534
210,btc,2020-03-09T00:00:00.000000000Z,809850,120142063.4511651,8109.61454114553,347351
211,btc,2020-03-10T00:00:00.000000000Z,807778,108616241.39191228,7896.38531987142,329508
212,btc,2020-03-11T00:00:00.000000000Z,728889,97919187.31543607,7909.92787545295,290284
213,btc,2020-03-12T00:00:00.000000000Z,909601,124250397.34983888,7939.34133477499,346057
214,btc,2020-03-13T00:00:00.000000000Z,786409,102856289.19688664,4959.31341437756,279662
215,btc,2020-03-14T00:00:00.000000000Z,772769,105324840.13761191,5627.69238836938,276029
216,btc,2020-03-15T00:00:00.000000000Z,629326,97919187.31543607,5145.17250642899,224876
217,btc,2020-03-16T00:00:00.000000000Z,725120,97919187.31543607,5358.61066335476,269587
218,btc,2020-03-17T00:00:00.000000000Z,765477,101210588.56973645,5012.92738778492,279277
219,btc,2020-03-18T00:00:00.000000000Z,633373,82285031.35750929,5416.7547106955,233212
220,btc,2020-03-19T00:00:00.000000000Z,709786,88044983.55253497,5392.48783594389,265543
221,btc,2020-03-20T00:00:00.000000000Z,734614,89690684.17968515,6203.5516320865,282852
